epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.7236,1.88407,1.06606,1.56452,0.72851,0.78571,0.70842,0.32065,2.20549,1.0838,1.99563,2e-05,2e-05,2e-05
2,88.5063,2.06661,0.99229,1.80462,0.80547,0.78571,0.73234,0.34386,2.18012,1.06321,1.95374,5.8812e-05,5.8812e-05,5.8812e-05
3,126.044,1.8602,0.87799,1.56055,0.82179,0.78571,0.73484,0.40018,2.13021,1.09085,1.84807,9.604e-05,9.604e-05,9.604e-05
4,198.778,1.77378,0.85448,1.58375,0.82166,0.78571,0.7347,0.36562,2.21747,1.13014,1.83793,0.000131684,0.000131684,0.000131684
5,257.714,1.84042,0.96166,1.45322,0.82982,0.78571,0.75319,0.35148,2.27994,1.16512,1.74947,0.000165744,0.000165744,0.000165744
6,298.847,1.74828,0.91976,1.32233,0.85011,0.85714,0.81484,0.3562,2.08754,1.1225,1.57136,0.00019822,0.00019822,0.00019822
7,340.609,1.91441,1.00079,1.53321,0.85135,0.85714,0.84607,0.34801,2.06891,1.16969,1.57916,0.000229112,0.000229112,0.000229112
8,378.716,1.9784,0.99734,1.59251,0.85533,0.84535,0.8465,0.34717,2.18494,1.08502,1.64407,0.00025842,0.00025842,0.00025842
9,413.028,1.53721,0.79732,1.26907,0.8555,0.84649,0.8522,0.31885,2.22569,1.16129,1.67583,0.000286144,0.000286144,0.000286144
10,448.597,1.57622,0.88499,1.27545,0.84538,0.85714,0.85955,0.31125,2.34843,1.20567,1.72905,0.000312284,0.000312284,0.000312284
11,489.127,1.74909,0.8785,1.35721,0.85162,0.85714,0.84045,0.27854,2.48978,1.18952,1.82437,0.00033684,0.00033684,0.00033684
12,524.578,1.91853,0.87992,1.55416,0.85523,0.84472,0.81236,0.26584,2.48239,1.13647,1.8286,0.000359812,0.000359812,0.000359812
13,558.95,2.03774,0.95186,1.52892,0.79068,0.85714,0.79543,0.25847,2.36907,1.07463,1.73751,0.0003812,0.0003812,0.0003812
14,598.375,1.77658,0.80363,1.28334,0.79333,0.85714,0.80717,0.26929,2.27153,1.07561,1.70076,0.000401004,0.000401004,0.000401004
15,633.092,1.7725,0.8739,1.38765,0.73278,0.85714,0.77243,0.24561,2.2821,1.19053,1.68617,0.000419224,0.000419224,0.000419224
16,667.643,1.47283,0.77034,1.24698,0.75604,0.85714,0.75726,0.23252,2.43037,1.18938,1.7387,0.00043586,0.00043586,0.00043586
17,708.825,1.79924,0.91346,1.29559,0.74696,0.85714,0.78308,0.22951,2.46075,1.1347,1.78162,0.000450912,0.000450912,0.000450912
18,750.525,1.71058,0.92714,1.36025,0.7916,0.85714,0.81513,0.2893,2.39766,1.08182,1.81793,0.00046438,0.00046438,0.00046438
19,787.809,1.75615,0.95207,1.29212,0.79489,0.85714,0.80336,0.2828,2.38581,1.17166,1.86638,0.000476264,0.000476264,0.000476264
20,821.486,1.74254,0.9415,1.41754,0.75506,0.78571,0.71268,0.29333,2.32029,1.275,1.85441,0.000486564,0.000486564,0.000486564
21,854.569,1.51125,0.8473,1.22579,0.7573,0.78571,0.7073,0.28885,2.3397,1.07431,1.85581,0.00049528,0.00049528,0.00049528
22,887.608,1.61487,0.89243,1.21472,0.69947,0.71429,0.65541,0.24987,2.44764,1.0407,1.94193,0.000502412,0.000502412,0.000502412
23,918.525,1.68658,0.89742,1.3129,0.71092,0.71429,0.68788,0.268,2.47798,1.02355,1.97116,0.00050796,0.00050796,0.00050796
24,950.445,1.65213,0.8502,1.31941,0.70435,0.71429,0.69872,0.29831,2.39415,0.98296,1.89706,0.000511924,0.000511924,0.000511924
25,983,1.57988,0.98578,1.20116,0.84762,0.85714,0.85366,0.32325,2.29618,0.92992,1.82738,0.000514304,0.000514304,0.000514304
26,1014.19,1.45884,0.81184,1.2284,0.85683,0.85513,0.79764,0.33615,2.2635,0.96837,1.77288,0.0005151,0.0005151,0.0005151
27,1044.57,1.53528,0.79642,1.30944,0.77567,0.78571,0.76268,0.29414,2.29785,1.02041,1.77785,0.000514312,0.000514312,0.000514312
28,1075.96,1.38956,0.83276,1.25427,0.77567,0.78571,0.76268,0.29414,2.29785,1.02041,1.77785,0.00051194,0.00051194,0.00051194
29,1106.86,1.4472,0.80749,1.23254,0.76275,0.78571,0.65532,0.25187,2.37584,1.08771,1.80272,0.000507984,0.000507984,0.000507984
30,1138.31,1.372,0.82936,1.19493,0.68875,0.71429,0.62472,0.2412,2.37567,1.08724,1.84659,0.000502444,0.000502444,0.000502444
31,1170.28,1.49924,0.77992,1.19891,0.68875,0.71429,0.62472,0.2412,2.37567,1.08724,1.84659,0.00049532,0.00049532,0.00049532
32,1201.71,1.38988,0.7332,1.14197,0.68501,0.77717,0.62691,0.2558,2.33769,1.00498,1.865,0.000486612,0.000486612,0.000486612
33,1232.96,1.42545,0.71762,1.15664,0.72518,0.78571,0.66362,0.27572,2.28652,0.99059,1.84732,0.00047632,0.00047632,0.00047632
34,1267.1,1.59846,0.7497,1.35236,0.72518,0.78571,0.66362,0.27572,2.28652,0.99059,1.84732,0.000464444,0.000464444,0.000464444
35,1302.94,1.52092,0.77883,1.35354,0.79115,0.85714,0.77578,0.27942,2.28894,1.02135,1.83231,0.000450984,0.000450984,0.000450984
36,1335.67,1.37451,0.71614,1.15385,0.78978,0.85714,0.77428,0.27246,2.30585,1.10715,1.8809,0.00043594,0.00043594,0.00043594
37,1367.73,1.29736,0.6898,1.16623,0.78978,0.85714,0.77428,0.27246,2.30585,1.10715,1.8809,0.000419312,0.000419312,0.000419312
38,1400.21,1.25851,0.69357,1.11548,0.79368,0.85714,0.77282,0.24828,2.36705,1.0432,1.92663,0.0004011,0.0004011,0.0004011
39,1433.69,1.24159,0.70124,1.14077,0.79428,0.85714,0.77279,0.25695,2.47111,1.07026,1.9428,0.000381304,0.000381304,0.000381304
