epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1465.15,1.8646,1.1885,1.47194,0.93836,0.64286,0.77436,0.30353,2.38536,1.43323,1.91364,0.0011882,0.0011882,0.0011882
43,1487.33,1.87963,1.35352,1.49856,0.90249,0.78571,0.8395,0.3424,2.19112,1.41143,1.85294,0.0011684,0.0011684,0.0011684
44,1507.35,1.84067,1.29122,1.55568,0.90249,0.78571,0.8395,0.3424,2.19112,1.41143,1.85294,0.0011486,0.0011486,0.0011486
45,1529.77,1.81217,1.35135,1.50673,0.92622,0.78571,0.85661,0.29459,2.20948,1.32278,1.77148,0.0011288,0.0011288,0.0011288
46,1554.03,1.83067,1.14442,1.43543,0.92622,0.78571,0.85661,0.29459,2.20948,1.32278,1.77148,0.001109,0.001109,0.001109
47,1574.52,1.63282,1.1581,1.40489,0.71943,0.78571,0.71289,0.24601,2.18018,1.40947,1.72524,0.0010892,0.0010892,0.0010892
48,1598.82,1.79997,1.16579,1.57036,0.71943,0.78571,0.71289,0.24601,2.18018,1.40947,1.72524,0.0010694,0.0010694,0.0010694
49,1624.04,1.89992,1.32868,1.49123,0.64014,0.76331,0.65523,0.21387,2.28337,1.6261,1.77,0.0010496,0.0010496,0.0010496
50,1647.38,1.85767,1.23262,1.51293,0.64014,0.76331,0.65523,0.21387,2.28337,1.6261,1.77,0.0010298,0.0010298,0.0010298
51,1669.71,1.66807,1.14437,1.3755,0.84005,0.85714,0.82378,0.30497,2.15392,1.39784,1.64341,0.00101,0.00101,0.00101
52,1691.26,1.66383,1.19875,1.29462,0.84005,0.85714,0.82378,0.30497,2.15392,1.39784,1.64341,0.0009902,0.0009902,0.0009902
53,1714.1,1.78243,1.21866,1.35354,0.84308,0.85714,0.8497,0.31319,2.08592,1.3026,1.58134,0.0009704,0.0009704,0.0009704
54,1735.41,1.92813,1.26064,1.42786,0.84308,0.85714,0.8497,0.31319,2.08592,1.3026,1.58134,0.0009506,0.0009506,0.0009506
55,1758.87,1.96441,1.31254,1.48456,0.84288,0.85714,0.84677,0.31903,2.08246,1.20661,1.57802,0.0009308,0.0009308,0.0009308
56,1781.49,1.69691,1.0481,1.34778,0.84288,0.85714,0.84677,0.31903,2.08246,1.20661,1.57802,0.000911,0.000911,0.000911
57,1804.04,1.78366,1.13703,1.42719,0.79561,0.8352,0.80922,0.3357,2.07757,1.22119,1.61371,0.0008912,0.0008912,0.0008912
58,1824.77,1.72555,1.21365,1.31203,0.79561,0.8352,0.80922,0.3357,2.07757,1.22119,1.61371,0.0008714,0.0008714,0.0008714
59,1847.53,1.92802,1.25757,1.47173,0.80061,0.78571,0.83666,0.32541,2.04867,1.21311,1.58244,0.0008516,0.0008516,0.0008516
60,1870.6,1.77175,1.14067,1.39434,0.80061,0.78571,0.83666,0.32541,2.04867,1.21311,1.58244,0.0008318,0.0008318,0.0008318
61,1892.53,1.69929,1.09947,1.34383,0.78044,0.85714,0.81527,0.3204,2.10372,1.19413,1.61867,0.000812,0.000812,0.000812
62,1912.8,1.48588,1.06361,1.28415,0.78044,0.85714,0.81527,0.3204,2.10372,1.19413,1.61867,0.0007922,0.0007922,0.0007922
63,1933.06,1.79487,1.19423,1.30932,0.66203,0.70038,0.72714,0.28685,2.14016,1.15407,1.6417,0.0007724,0.0007724,0.0007724
64,1954.69,1.77384,1.05647,1.39566,0.66203,0.70038,0.72714,0.28685,2.14016,1.15407,1.6417,0.0007526,0.0007526,0.0007526
65,1976.06,1.56976,1.03261,1.39209,0.81221,0.61938,0.73998,0.29543,2.1815,1.16911,1.69284,0.0007328,0.0007328,0.0007328
66,1998.34,1.80166,1.12528,1.42507,0.81221,0.61938,0.73998,0.29543,2.1815,1.16911,1.69284,0.000713,0.000713,0.000713
67,2020.53,1.72212,1.20353,1.46818,0.7087,0.78571,0.76831,0.3005,2.12704,1.18284,1.69095,0.0006932,0.0006932,0.0006932
68,2042.58,1.8548,1.19562,1.52672,0.7087,0.78571,0.76831,0.3005,2.12704,1.18284,1.69095,0.0006734,0.0006734,0.0006734
69,2062.43,1.76237,1.14522,1.41589,0.74961,0.64164,0.72843,0.34345,2.09065,1.13489,1.71154,0.0006536,0.0006536,0.0006536
70,2086.38,1.79949,1.09969,1.41961,0.74961,0.64164,0.72843,0.34345,2.09065,1.13489,1.71154,0.0006338,0.0006338,0.0006338
71,2108.15,1.56378,1.02918,1.36099,0.74824,0.71429,0.76306,0.3568,2.08383,1.07503,1.71121,0.000614,0.000614,0.000614
72,2132.53,1.75923,1.227,1.44594,0.74824,0.71429,0.76306,0.3568,2.08383,1.07503,1.71121,0.0005942,0.0005942,0.0005942
73,2155.41,1.72495,1.01135,1.31493,0.8279,0.68865,0.73827,0.32639,2.07591,1.05665,1.69638,0.0005744,0.0005744,0.0005744
74,2178.71,1.59166,0.9815,1.33378,0.8279,0.68865,0.73827,0.32639,2.07591,1.05665,1.69638,0.0005546,0.0005546,0.0005546
75,2201.28,1.60989,1.07251,1.39629,0.77118,0.71429,0.75262,0.28062,2.14783,1.06934,1.68683,0.0005348,0.0005348,0.0005348
76,2224.73,1.46482,0.97671,1.27535,0.77118,0.71429,0.75262,0.28062,2.14783,1.06934,1.68683,0.000515,0.000515,0.000515
77,2244.1,1.57743,1.04232,1.34041,0.74799,0.71429,0.69177,0.29436,2.16372,1.10485,1.69013,0.0004952,0.0004952,0.0004952
78,2267.21,1.51489,0.9426,1.33114,0.74799,0.71429,0.69177,0.29436,2.16372,1.10485,1.69013,0.0004754,0.0004754,0.0004754
79,2290.91,1.51213,1.01737,1.28918,0.72198,0.71429,0.68946,0.29609,2.21177,1.11925,1.69625,0.0004556,0.0004556,0.0004556
80,2313.26,1.73644,0.96108,1.31875,0.72198,0.71429,0.68946,0.29609,2.21177,1.11925,1.69625,0.0004358,0.0004358,0.0004358
81,2335.91,1.62452,0.98829,1.31134,0.83996,0.85714,0.83021,0.2869,2.23908,1.11758,1.69299,0.000416,0.000416,0.000416
82,2358.46,1.64066,0.9969,1.33589,0.83996,0.85714,0.83021,0.2869,2.23908,1.11758,1.69299,0.0003962,0.0003962,0.0003962
83,2381.93,1.60419,1.04181,1.34531,0.83838,0.85714,0.86872,0.3018,2.31761,1.14716,1.74699,0.0003764,0.0003764,0.0003764
84,2401.59,1.76459,1.00908,1.3709,0.83838,0.85714,0.86872,0.3018,2.31761,1.14716,1.74699,0.0003566,0.0003566,0.0003566
85,2422.11,1.74521,0.98262,1.35246,0.76652,0.78571,0.77925,0.3077,2.28974,1.10014,1.75206,0.0003368,0.0003368,0.0003368
86,2445.66,1.81737,1.15414,1.43448,0.76652,0.78571,0.77925,0.3077,2.28974,1.10014,1.75206,0.000317,0.000317,0.000317
87,2466.99,1.50573,0.84153,1.2243,0.83309,0.85714,0.87546,0.30515,2.22712,1.10651,1.71781,0.0002972,0.0002972,0.0002972
88,2487.2,1.47535,0.9091,1.24632,0.83309,0.85714,0.87546,0.30515,2.22712,1.10651,1.71781,0.0002774,0.0002774,0.0002774
89,2511.62,1.50138,0.84733,1.28287,0.82845,0.85714,0.8642,0.31322,2.22851,1.10986,1.71525,0.0002576,0.0002576,0.0002576
90,2534.7,1.41274,0.86127,1.18691,0.82845,0.85714,0.8642,0.31322,2.22851,1.10986,1.71525,0.0002378,0.0002378,0.0002378
91,2557.28,1.53849,0.89697,1.24744,0.74545,0.78571,0.82497,0.3286,2.21925,1.10858,1.72352,0.000218,0.000218,0.000218
92,2579.9,1.46827,0.9128,1.23858,0.74545,0.78571,0.82497,0.3286,2.21925,1.10858,1.72352,0.0001982,0.0001982,0.0001982
93,2601.91,1.44056,0.90391,1.21771,0.7956,0.83515,0.83728,0.33883,2.22053,1.10029,1.74104,0.0001784,0.0001784,0.0001784
94,2624.64,1.43906,0.92469,1.29008,0.7956,0.83515,0.83728,0.33883,2.22053,1.10029,1.74104,0.0001586,0.0001586,0.0001586
95,2647.78,1.51909,0.92288,1.29724,0.79856,0.84993,0.84673,0.33849,2.25202,1.09104,1.76671,0.0001388,0.0001388,0.0001388
96,2672.04,1.31066,0.81461,1.23258,0.79856,0.84993,0.84673,0.33849,2.25202,1.09104,1.76671,0.000119,0.000119,0.000119
97,2695.21,1.38779,0.8364,1.25696,0.79175,0.81591,0.85118,0.35136,2.28306,1.08285,1.78642,9.92e-05,9.92e-05,9.92e-05
98,2714.44,1.45423,0.85013,1.22867,0.79175,0.81591,0.85118,0.35136,2.28306,1.08285,1.78642,7.94e-05,7.94e-05,7.94e-05
99,2734.04,1.38842,0.84789,1.26736,0.74939,0.85714,0.86334,0.34647,2.29065,1.08824,1.81273,5.96e-05,5.96e-05,5.96e-05
100,2756.09,1.49381,0.83397,1.2314,0.74939,0.85714,0.86334,0.34647,2.29065,1.08824,1.81273,3.98e-05,3.98e-05,3.98e-05
