epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0847,0.80517,0.55898,1.00348,0.84897,0.4,0.39612,0.22753,2.61555,1.43815,3.09707,0,0,0
2,29.6057,0.9187,0.61624,1.02406,0.84259,0.4,0.39608,0.22751,2.57132,1.49876,2.98983,1.9604e-05,1.9604e-05,1.9604e-05
3,40.9093,1.46762,0.69653,1.32782,0.81431,0.4,0.39611,0.22753,2.62229,1.37163,3.14865,3.8416e-05,3.8416e-05,3.8416e-05
4,51.906,1.07735,0.61986,1.05141,0.64683,0.4,0.39722,0.22772,2.51939,1.31391,2.85339,5.6436e-05,5.6436e-05,5.6436e-05
5,62.9687,0.96921,0.67611,1.04398,0.69444,0.4,0.39746,0.22776,2.5412,1.20182,2.8177,7.3664e-05,7.3664e-05,7.3664e-05
6,73.552,1.39034,0.71654,1.39691,0.84914,0.4,0.39787,0.25711,2.55329,1.09422,2.74948,9.01e-05,9.01e-05,9.01e-05
7,84.7685,1.04189,0.61325,1.07741,0.99495,0.6,0.59624,0.27686,2.55848,1.11037,2.65618,0.000105744,0.000105744,0.000105744
8,95.9884,1.25302,0.71436,1.20324,0.72291,0.6,0.54635,0.27194,2.53615,1.10177,2.55272,0.000120596,0.000120596,0.000120596
9,106.695,1.40758,0.64277,1.28727,0.72987,0.6,0.54659,0.27451,2.48894,1.1482,2.44283,0.000134656,0.000134656,0.000134656
10,117.349,1.39194,0.65762,1.17436,0.73167,0.6,0.546,0.2705,2.3364,1.24807,2.22646,0.000147924,0.000147924,0.000147924
11,127.91,1.0522,0.69492,1.06478,0.73296,0.6,0.54596,0.26735,2.33845,1.30923,2.1483,0.0001604,0.0001604,0.0001604
