epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.0998,2.52235,8.8066,2.16873,0.35227,0.35827,0.21014,0.06356,2.72497,4.90656,2.59881,0.0001,0.0001,0.0001
2,133.631,2.42067,6.82838,1.9934,0.86911,0.48592,0.57048,0.20865,1.86655,9.29692,1.62545,0.000215644,0.000215644,0.000215644
3,171.66,1.85701,2.98948,1.60368,0.55896,0.58537,0.51036,0.13202,1.95472,10.5768,1.7096,0.000326536,0.000326536,0.000326536
4,212.533,1.85768,2.56983,1.44385,0.15755,0.26829,0.17241,0.0967,1.82443,5.15716,1.56806,0.000432676,0.000432676,0.000432676
5,247.232,1.77381,2.07504,1.3757,0.8045,0.50206,0.56169,0.22555,1.89823,3.31162,1.61056,0.000534064,0.000534064,0.000534064
6,285.754,1.78464,1.56484,1.47253,0.45426,0.4878,0.34699,0.15754,2.00188,2.18395,1.74066,0.0006307,0.0006307,0.0006307
7,322.623,1.83209,1.46135,1.49259,0.71647,0.58537,0.59852,0.25951,2.0721,1.58631,1.755,0.000722584,0.000722584,0.000722584
8,362.91,1.73147,1.26971,1.47742,0.82122,0.68293,0.63098,0.22476,1.95959,1.34526,1.65885,0.000809716,0.000809716,0.000809716
9,404.871,1.77792,1.34757,1.59674,0.52625,0.56098,0.58471,0.18468,2.07579,1.60139,1.8909,0.000892096,0.000892096,0.000892096
10,446.09,1.74748,1.27193,1.61919,0.66799,0.63415,0.65861,0.25739,2.09903,1.39589,1.90602,0.000969724,0.000969724,0.000969724
11,483.261,1.83132,1.39874,1.57415,0.84271,0.63415,0.72372,0.30076,2.11599,1.46603,1.86247,0.0010426,0.0010426,0.0010426
12,517.544,1.87858,1.35821,1.6717,0.66086,0.66551,0.68636,0.26917,2.10798,1.3299,1.99385,0.00111072,0.00111072,0.00111072
13,557.648,1.81506,1.36378,1.58326,0.77548,0.5122,0.59897,0.22459,2.22213,1.81642,2.0059,0.0011741,0.0011741,0.0011741
14,593.995,1.88706,1.31496,1.60689,0.03255,0.34146,0.0181,0.006,2.68584,4.17974,2.30576,0.00123272,0.00123272,0.00123272
15,630.726,1.86068,1.27711,1.59555,0.03818,0.29268,0.01883,0.00775,2.21969,6.89635,2.05673,0.00128658,0.00128658,0.00128658
16,668.27,1.87528,1.23145,1.60484,0.15824,0.34146,0.10998,0.04871,2.01257,3.48463,1.77805,0.0013357,0.0013357,0.0013357
17,709.904,1.87009,1.19141,1.63489,0.71604,0.60976,0.5984,0.24579,2.07081,2.40312,2.027,0.0013664,0.0013664,0.0013664
18,746.919,1.77475,1.13561,1.58779,0.67896,0.60976,0.62125,0.24567,2.12229,1.51036,1.97359,0.0013268,0.0013268,0.0013268
19,783.361,1.9219,1.24828,1.66861,0.61874,0.53659,0.536,0.17002,2.19482,1.84025,2.07043,0.0012872,0.0012872,0.0012872
20,817.2,1.77769,1.08703,1.54269,0.64894,0.76658,0.75851,0.31931,1.89289,1.24908,1.71625,0.0012476,0.0012476,0.0012476
21,856.413,1.6777,1.14127,1.47575,0.88941,0.58857,0.78955,0.34088,1.83461,1.15822,1.66901,0.001208,0.001208,0.001208
22,893.954,1.76555,1.12337,1.56938,0.87763,0.69988,0.76631,0.31277,1.89708,1.19479,1.64732,0.0011684,0.0011684,0.0011684
23,932.078,1.70768,1.0991,1.59039,0.77936,0.77546,0.76956,0.30471,1.93976,1.20115,1.67992,0.0011288,0.0011288,0.0011288
24,970.282,1.65003,1.00575,1.58131,0.83183,0.60336,0.71726,0.34367,1.81848,1.69512,1.64357,0.0010892,0.0010892,0.0010892
25,1009.84,1.70016,1.05717,1.51883,0.87051,0.56098,0.71944,0.33537,1.84929,1.62902,1.63258,0.0010496,0.0010496,0.0010496
26,1049.12,1.64845,0.9476,1.38573,0.64125,0.73171,0.72537,0.28802,2.04491,1.31357,1.80387,0.00101,0.00101,0.00101
27,1088.37,1.75331,0.98278,1.64433,0.63017,0.78049,0.67167,0.27302,2.04213,1.27871,1.8028,0.0009704,0.0009704,0.0009704
28,1131.05,1.70431,0.97659,1.48202,0.74714,0.79287,0.74622,0.29137,2.0662,1.31032,1.79169,0.0009308,0.0009308,0.0009308
29,1168.52,1.80138,1.10401,1.57892,0.67728,0.73171,0.71891,0.2909,2.04761,1.2442,1.79014,0.0008912,0.0008912,0.0008912
30,1210.19,1.59633,0.86859,1.40724,0.78899,0.8209,0.81658,0.31458,1.91619,1.07204,1.6712,0.0008516,0.0008516,0.0008516
31,1249.17,1.56955,0.90238,1.46321,0.76726,0.78049,0.82829,0.33433,1.89185,1.0558,1.65269,0.000812,0.000812,0.000812
32,1288.5,1.60832,0.90636,1.45081,0.75271,0.74254,0.74798,0.30334,2.10514,0.94129,1.80715,0.0007724,0.0007724,0.0007724
