epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.2726,2.6643,9.71176,2.25819,0.49751,0.24528,0.25666,0.07332,2.76203,10.7318,2.2177,0.00014,0.00014,0.00014
2,108.161,2.11889,4.631,1.74829,0.05237,0.4717,0.04021,0.01045,2.26036,34.2806,1.87636,0.00029406,0.00029406,0.00029406
3,159.602,2.02151,2.71742,1.65432,0.74403,0.6033,0.64314,0.2151,2.15663,3.93213,1.89223,0.000441784,0.000441784,0.000441784
4,212.625,1.85252,1.94174,1.56068,0.47723,0.5283,0.5591,0.24031,2.07394,5.83356,1.72255,0.000583172,0.000583172,0.000583172
5,260.443,1.88453,1.67852,1.55412,0.01573,0.77358,0.0146,0.00593,2.01658,108.41,1.66318,0.000718224,0.000718224,0.000718224
6,308.791,1.94206,1.60009,1.71141,0.06972,0.60377,0.0589,0.02234,2.05732,9.34814,1.80609,0.00084694,0.00084694,0.00084694
7,357.339,1.92057,1.68135,1.7123,0.23516,0.34814,0.18058,0.0712,2.22958,5.35265,1.86042,0.00096932,0.00096932,0.00096932
8,406.848,1.95961,1.5131,1.63083,0.01378,0.45283,0.01141,0.00478,2.16207,12.0656,1.81272,0.00108536,0.00108536,0.00108536
9,461.545,1.92638,1.34332,1.62953,0.0177,0.60377,0.01436,0.0055,2.22097,16.1168,5.00244,0.00119507,0.00119507,0.00119507
10,519.608,2.0279,1.33563,1.68511,0.12448,0.49057,0.09413,0.03398,2.33725,4.68249,2.24517,0.00129844,0.00129844,0.00129844
11,574.41,1.83948,1.34403,1.64552,0.72645,0.50118,0.49284,0.22043,2.22715,1.89846,1.95727,0.00139548,0.00139548,0.00139548
12,629.729,1.94367,1.39598,1.6302,0.09587,0.71698,0.07946,0.02991,2.11895,6.2053,3.00039,0.00148618,0.00148618,0.00148618
13,671.666,1.99375,1.24561,1.64998,0.75844,0.71096,0.67099,0.25292,2.16585,1.65494,1.90386,0.0015248,0.0015248,0.0015248
14,717.283,1.89373,1.32284,1.60333,0.71885,0.72371,0.71596,0.28232,1.95077,1.55881,1.74196,0.0014852,0.0014852,0.0014852
15,765.185,1.9208,1.34233,1.64031,0.54996,0.71698,0.66695,0.31448,1.91889,2.02246,1.71218,0.0014456,0.0014456,0.0014456
16,817.059,1.9351,1.23251,1.66756,0.67639,0.55218,0.62966,0.27162,1.96556,2.6541,1.74962,0.001406,0.001406,0.001406
17,871.673,1.93717,1.33547,1.79646,0.54503,0.69811,0.65381,0.30342,1.9333,1.83226,1.66723,0.0013664,0.0013664,0.0013664
18,918.782,1.94549,1.26187,1.71953,0.6793,0.58491,0.59713,0.17174,2.17114,2.20381,1.85442,0.0013268,0.0013268,0.0013268
19,967.23,1.86971,1.1674,1.66121,0.67231,0.50334,0.52551,0.20951,2.25697,1.70721,1.87756,0.0012872,0.0012872,0.0012872
20,1014.29,1.80312,1.25204,1.52753,0.65404,0.5708,0.56352,0.22369,2.24541,1.70012,1.91288,0.0012476,0.0012476,0.0012476
21,1063.87,1.91629,1.10017,1.52996,0.60981,0.43396,0.38777,0.16333,2.20768,2.16036,2.00873,0.001208,0.001208,0.001208
22,1112.71,1.84685,1.18323,1.6754,0.73802,0.5847,0.61822,0.25802,2.0761,1.61083,1.85636,0.0011684,0.0011684,0.0011684
23,1161.72,1.70883,1.15465,1.52434,0.63406,0.45283,0.54235,0.22951,1.99903,1.95684,1.74991,0.0011288,0.0011288,0.0011288
24,1211.52,1.87915,1.19198,1.6452,0.76976,0.69395,0.74708,0.32426,2.00885,1.37528,1.7182,0.0010892,0.0010892,0.0010892
25,1255.96,1.84561,1.17003,1.69781,0.74124,0.7027,0.74642,0.31837,2.0719,1.29357,1.7555,0.0010496,0.0010496,0.0010496
26,1302.11,1.71063,1.01984,1.53174,0.73215,0.73585,0.72843,0.28289,2.1378,1.23233,1.80327,0.00101,0.00101,0.00101
27,1349.7,1.85708,1.20436,1.66919,0.74953,0.73585,0.74273,0.27575,2.18263,1.34888,1.76587,0.0009704,0.0009704,0.0009704
28,1401.89,1.84779,1.15902,1.57829,0.79143,0.69811,0.77217,0.32336,2.03454,1.59902,1.64734,0.0009308,0.0009308,0.0009308
29,1451.88,1.71911,1.11112,1.53099,0.83479,0.54717,0.75382,0.28774,2.04448,1.72649,1.60643,0.0008912,0.0008912,0.0008912
30,1505.18,1.7032,1.0166,1.4614,0.66269,0.73585,0.73894,0.30135,2.12826,1.36197,1.63324,0.0008516,0.0008516,0.0008516
31,1559.71,1.80647,1.09863,1.57724,0.71077,0.81132,0.81471,0.34169,2.01707,1.2823,1.64101,0.000812,0.000812,0.000812
32,1606.15,1.85572,1.07372,1.75594,0.70613,0.75472,0.79593,0.36334,1.95091,1.18135,1.63434,0.0007724,0.0007724,0.0007724
33,1654.71,1.65598,1.02608,1.4846,0.68457,0.81132,0.81273,0.35794,1.97201,1.07646,1.61943,0.0007328,0.0007328,0.0007328
34,1701.35,1.61893,0.94486,1.47005,0.66237,0.86792,0.83156,0.35061,1.92416,1.05937,1.56918,0.0006932,0.0006932,0.0006932
35,1751.75,1.68445,1.04547,1.50033,0.75557,0.81132,0.81412,0.34509,1.9397,1.05454,1.58965,0.0006536,0.0006536,0.0006536
36,1798.2,1.63466,0.94902,1.41333,0.80763,0.71698,0.77957,0.35131,1.97553,1.04531,1.626,0.000614,0.000614,0.000614
37,1849.4,1.68404,1.04433,1.4689,0.80631,0.78556,0.83434,0.35757,1.95685,0.94366,1.58985,0.0005744,0.0005744,0.0005744
38,1898.19,1.73408,0.99305,1.4929,0.78909,0.75472,0.83097,0.38349,1.92884,0.97502,1.56609,0.0005348,0.0005348,0.0005348
39,1949.89,1.63,0.96143,1.55888,0.86388,0.79245,0.84727,0.39834,1.86319,0.95995,1.51078,0.0004952,0.0004952,0.0004952
40,2001,1.51706,0.89338,1.44826,0.78613,0.77358,0.8439,0.39347,1.85873,0.95377,1.49315,0.0004556,0.0004556,0.0004556
41,2055.23,1.62569,0.97373,1.57706,0.76919,0.8175,0.85311,0.39794,1.8982,0.93758,1.50515,0.000416,0.000416,0.000416
42,2107.94,1.6362,0.86573,1.53457,0.86574,0.84906,0.91779,0.38451,1.94118,0.92802,1.53676,0.0003764,0.0003764,0.0003764
43,2157.52,1.46881,0.81724,1.41605,0.84726,0.90566,0.93175,0.3875,1.98515,0.91923,1.57845,0.0003368,0.0003368,0.0003368
44,2202.53,1.51293,0.76811,1.50948,0.8287,0.91284,0.92979,0.3703,2.02497,0.93978,1.59161,0.0002972,0.0002972,0.0002972
45,2248.48,1.60701,0.83978,1.49333,0.85731,0.90688,0.93309,0.37421,2.05647,0.92157,1.60587,0.0002576,0.0002576,0.0002576
46,2293.75,1.41372,0.75275,1.36725,0.8721,0.92453,0.93494,0.36377,2.06735,0.90561,1.62006,0.000218,0.000218,0.000218
47,2339.47,1.83193,0.99773,1.83756,0.90501,0.89892,0.93614,0.37292,2.04756,0.90904,1.61632,0.0001784,0.0001784,0.0001784
48,2388.1,1.55125,0.71934,1.49453,0.89081,0.88679,0.93692,0.37706,2.01085,0.89187,1.59706,0.0001388,0.0001388,0.0001388
49,2434.15,1.5022,0.7145,1.44851,0.89051,0.88679,0.93559,0.38847,1.98733,0.87669,1.58881,9.92e-05,9.92e-05,9.92e-05
50,2481.52,1.41946,0.72923,1.4037,0.88857,0.90278,0.93719,0.3835,1.98757,0.87803,1.58501,5.96e-05,5.96e-05,5.96e-05
