epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1957,2.49375,6.62648,1.99852,0.35318,0.36585,0.21262,0.05974,2.60941,3.92987,2.22258,0.0001,0.0001,0.0001
2,32.482,2.35964,5.44563,1.83464,0.65682,0.46341,0.53314,0.21108,1.91846,5.17054,1.46383,0.000215644,0.000215644,0.000215644
3,51.8489,1.85402,2.59901,1.46207,0.83527,0.39024,0.55396,0.18789,1.8831,6.58359,1.46998,0.000326536,0.000326536,0.000326536
4,72.8335,1.82932,2.20371,1.40955,0.71431,0.54905,0.58619,0.22059,1.93024,3.46759,1.5304,0.000432676,0.000432676,0.000432676
5,94.0983,1.83288,1.74618,1.40344,0.81038,0.68293,0.76492,0.28742,2.00486,1.7748,1.59771,0.000534064,0.000534064,0.000534064
6,115.043,1.79772,1.6404,1.39764,0.84969,0.65854,0.76246,0.2896,1.92556,2.68349,1.54064,0.0006307,0.0006307,0.0006307
7,136.881,1.76892,1.48317,1.42205,0.90693,0.7561,0.78117,0.3163,1.88779,1.44219,1.55102,0.000722584,0.000722584,0.000722584
8,175.383,1.7898,1.32189,1.47709,0.73036,0.7561,0.71766,0.30074,1.82162,1.52677,1.66338,0.000809716,0.000809716,0.000809716
9,190.828,1.73389,1.25991,1.49785,0.49455,0.73171,0.41623,0.13612,2.03017,1.92016,1.87734,0.000892096,0.000892096,0.000892096
10,207.683,1.80145,1.34876,1.51851,0.47711,0.58537,0.37628,0.14684,1.84244,3.57049,1.55909,0.000969724,0.000969724,0.000969724
11,222.824,1.82814,1.23998,1.50714,0.71257,0.7561,0.72261,0.31937,1.96058,1.57809,1.62023,0.0010426,0.0010426,0.0010426
12,238.297,1.84016,1.27266,1.58667,0.23872,0.68293,0.2397,0.09627,1.99498,2.40232,1.68806,0.00111072,0.00111072,0.00111072
13,254.08,1.95793,1.18125,1.55366,0.04055,0.68293,0.03715,0.01264,2.01837,17.835,1.5591,0.0011741,0.0011741,0.0011741
14,272.218,1.85405,1.1856,1.40193,0.04215,0.26829,0.01432,0.00538,2.43407,11.9255,2.46879,0.00123272,0.00123272,0.00123272
