epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0542,3.13872,9.30295,1.85361,0.65433,0.4815,0.33043,0.06616,3.41386,4.78793,1.82428,0,0,0
2,20.3801,2.99881,11.906,2.30789,0.66085,0.5,0.41209,0.08256,3.38075,5.318,1.80495,1.9802e-05,1.9802e-05,1.9802e-05
3,30.7058,3.21005,13.8664,1.78543,0.56306,0.5,0.41209,0.08258,3.31023,6.28497,1.77429,3.9208e-05,3.9208e-05,3.9208e-05
4,41.063,2.7386,8.04523,1.70313,0.99003,0.5,0.49543,0.14872,3.20756,8.04442,1.7244,5.8218e-05,5.8218e-05,5.8218e-05
5,51.3614,2.34188,6.91401,1.67364,0.971,0.5,0.49543,0.1493,3.06862,8.59231,1.72447,7.6832e-05,7.6832e-05,7.6832e-05
6,61.6721,2.31927,7.44035,1.84365,0.97388,0.5,0.49543,0.16998,2.91506,7.8629,1.82864,9.505e-05,9.505e-05,9.505e-05
7,71.8664,2.72159,9.95687,1.89199,0.97712,0.5,0.60247,0.18819,2.71319,7.07835,1.84694,0.000112872,0.000112872,0.000112872
8,82.3583,2.06201,4.65396,1.29439,1,0.73078,0.74533,0.22867,2.5741,6.49182,1.76761,0.000130298,0.000130298,0.000130298
9,94.9644,2.32624,4.42815,1.59659,1,0.73432,0.74533,0.26711,2.35155,7.57506,1.63619,0.000147328,0.000147328,0.000147328
10,105.009,2.34109,5.09498,1.81452,1,0.73973,0.74533,0.34724,2.08432,8.07255,1.49917,0.000163962,0.000163962,0.000163962
11,114.573,2.10744,5.3831,1.34156,0.99459,0.75,0.74533,0.34937,1.8383,7.6024,1.35499,0.0001802,0.0001802,0.0001802
12,124.662,2.22483,3.20889,1.7581,1,0.7392,0.7459,0.33065,1.5448,7.4315,1.28828,0.000196042,0.000196042,0.000196042
13,134.122,1.95392,2.81739,1.61784,0.65806,0.48708,0.49586,0.24467,1.42435,6.55082,1.27133,0.000211488,0.000211488,0.000211488
14,143.787,2.23189,2.89156,1.48764,0.58339,0.5,0.36442,0.12301,1.56804,5.7143,1.31972,0.000226538,0.000226538,0.000226538
15,153.435,1.48927,2.30633,1.07046,0.65004,0.5,0.34282,0.08749,1.75898,6.2764,1.54677,0.000241192,0.000241192,0.000241192
16,163.006,2.01563,2.22916,1.43609,0.47399,0.25,0.12467,0.06259,1.84587,12.0191,1.63523,0.00025545,0.00025545,0.00025545
17,172.817,1.86508,1.81734,1.31738,0.00784,0.25,0.00473,0.00258,1.88227,66.4296,1.69213,0.000269312,0.000269312,0.000269312
18,182.987,1.59264,1.6964,1.18118,0.00784,0.25,0.00473,0.00258,1.88227,66.4296,1.69213,0.000282778,0.000282778,0.000282778
19,192.776,1.73115,1.42826,1.22166,0.31584,0.25,0.25077,0.12519,2.03038,23.4673,1.76005,0.000295848,0.000295848,0.000295848
20,202.523,1.45908,2.19505,1.35091,0.31584,0.25,0.25077,0.12519,2.03038,23.4673,1.76005,0.000308522,0.000308522,0.000308522
21,212.236,1.42526,1.69798,1.18075,0.28507,0.25,0.26021,0.15599,2.02606,27.5435,1.64556,0.0003208,0.0003208,0.0003208
22,221.625,1.41785,1.87435,1.14631,0.28507,0.25,0.26021,0.15599,2.02606,27.5435,1.64556,0.000332682,0.000332682,0.000332682
23,231.19,1.51749,1.7705,1.29526,0.04334,0.5,0.03436,0.01654,2.06208,51.6047,1.63895,0.000344168,0.000344168,0.000344168
24,240.689,1.98053,2.21987,1.34057,0.04334,0.5,0.03436,0.01654,2.06208,51.6047,1.63895,0.000355258,0.000355258,0.000355258
25,250.199,2.04633,2.18386,1.44866,0.6893,0.5,0.49543,0.25483,2.10913,12.3917,1.74304,0.000365952,0.000365952,0.000365952
26,259.455,1.52642,2.09736,1.21623,0.6893,0.5,0.49543,0.25483,2.10913,12.3917,1.74304,0.00037625,0.00037625,0.00037625
27,269.461,1.65027,1.52944,1.09155,0.65889,0.5,0.55302,0.32707,2.03954,3.93824,1.86774,0.000386152,0.000386152,0.000386152
28,278.75,1.26615,1.46024,1.18662,0.65889,0.5,0.55302,0.32707,2.03954,3.93824,1.86774,0.000395658,0.000395658,0.000395658
29,288.655,1.66288,1.9615,1.22592,0.66646,0.5,0.58908,0.31599,2.00399,4.54176,1.91789,0.000404768,0.000404768,0.000404768
30,298.095,1.54508,1.47673,1.23546,0.66646,0.5,0.58908,0.31599,2.00399,4.54176,1.91789,0.000413482,0.000413482,0.000413482
31,307.579,2.06382,1.76549,1.38918,0.65697,0.5,0.57032,0.32452,1.93508,7.62976,1.94855,0.0004218,0.0004218,0.0004218
32,316.771,1.8831,1.73932,1.43849,0.65697,0.5,0.57032,0.32452,1.93508,7.62976,1.94855,0.000429722,0.000429722,0.000429722
33,326.298,1.48606,1.27721,1.14911,0.56938,0.75,0.64533,0.36179,1.86638,8.02808,1.80084,0.000437248,0.000437248,0.000437248
34,335.535,1.22113,1.04503,1.03671,0.56938,0.75,0.64533,0.36179,1.86638,8.02808,1.80084,0.000444378,0.000444378,0.000444378
35,345.133,1.25783,0.91637,1.01578,0.0289,0.5,0.02023,0.01416,1.79373,89.7848,1.70828,0.000451112,0.000451112,0.000451112
36,354.495,1.81554,1.625,1.1371,0.0289,0.5,0.02023,0.01416,1.79373,89.7848,1.70828,0.00045745,0.00045745,0.00045745
37,363.963,1.54544,1.278,1.15383,0.83715,0.5,0.49546,0.35911,1.81493,2.57215,1.6629,0.000463392,0.000463392,0.000463392
38,373.634,1.35175,0.96887,1.14779,0.83715,0.5,0.49546,0.35911,1.81493,2.57215,1.6629,0.000468938,0.000468938,0.000468938
39,383.032,1.62136,1.07269,1.16813,0.94194,0.5,0.49543,0.30954,1.78067,1.88983,1.66003,0.000474088,0.000474088,0.000474088
40,392.157,1.657,1.24306,1.1743,0.94194,0.5,0.49543,0.30954,1.78067,1.88983,1.66003,0.000478842,0.000478842,0.000478842
41,401.52,1.37396,1.28095,1.0602,0.93987,0.75,0.76826,0.32477,1.73174,1.97081,1.61397,0.0004832,0.0004832,0.0004832
42,410.624,1.18098,1.03393,1.05677,0.93987,0.75,0.76826,0.32477,1.73174,1.97081,1.61397,0.000487162,0.000487162,0.000487162
43,419.987,1.12459,1.06545,1.18614,0.91195,0.75,0.78204,0.29544,1.81921,2.27386,1.61717,0.000490728,0.000490728,0.000490728
44,429.188,1.14458,1.2796,0.96243,0.91195,0.75,0.78204,0.29544,1.81921,2.27386,1.61717,0.000493898,0.000493898,0.000493898
45,438.867,1.37481,1.49848,1.08019,0.92216,0.75,0.77726,0.24155,1.87786,2.36027,1.66683,0.000496672,0.000496672,0.000496672
46,448.046,1.17456,1.03229,0.98197,0.92216,0.75,0.77726,0.24155,1.87786,2.36027,1.66683,0.00049905,0.00049905,0.00049905
47,457.337,1.3044,1.1112,1.067,0.98269,0.75,0.77726,0.24337,1.86111,1.97749,1.69972,0.000501032,0.000501032,0.000501032
48,466.355,1.19259,0.87743,1.07979,0.98269,0.75,0.77726,0.24337,1.86111,1.97749,1.69972,0.000502618,0.000502618,0.000502618
49,475.966,1.39483,1.1947,1.18794,0.98563,0.75,0.80382,0.28703,1.8518,1.81069,1.74108,0.000503808,0.000503808,0.000503808
50,485.581,1.13054,0.88725,1.02162,0.98563,0.75,0.80382,0.28703,1.8518,1.81069,1.74108,0.000504602,0.000504602,0.000504602
51,494.827,1.25973,0.92919,1.04148,0.50377,0.5,0.54904,0.30767,1.78402,3.79993,1.70651,0.000505,0.000505,0.000505
52,504.042,1.35441,0.8729,1.06453,0.50377,0.5,0.54904,0.30767,1.78402,3.79993,1.70651,0.000505002,0.000505002,0.000505002
53,513.169,1.53992,1.03824,1.12219,0.50377,0.5,0.54904,0.30767,1.78402,3.79993,1.70651,0.000504608,0.000504608,0.000504608
54,522.645,1.23288,0.78981,1.09076,0.8384,0.5,0.57879,0.33859,1.66653,1.98744,1.63968,0.000503818,0.000503818,0.000503818
55,532.166,1.24222,0.78129,1.12914,0.8384,0.5,0.57879,0.33859,1.66653,1.98744,1.63968,0.000502632,0.000502632,0.000502632
56,541.32,1.04923,0.85134,1.06424,0.8384,0.5,0.57879,0.33859,1.66653,1.98744,1.63968,0.00050105,0.00050105,0.00050105
57,551.024,1.16505,0.7201,1.02396,0.74813,0.74438,0.68294,0.41541,1.64782,1.34492,1.58983,0.000499072,0.000499072,0.000499072
58,560.273,1.04103,0.70656,1.08399,0.74813,0.74438,0.68294,0.41541,1.64782,1.34492,1.58983,0.000496698,0.000496698,0.000496698
59,569.629,1.19368,0.88608,0.99557,0.74813,0.74438,0.68294,0.41541,1.64782,1.34492,1.58983,0.000493928,0.000493928,0.000493928
60,579.54,1.07726,0.67508,1.05298,0.57431,0.75,0.64545,0.40416,1.60303,1.2232,1.59841,0.000490762,0.000490762,0.000490762
61,589.144,0.92885,0.71715,0.93454,0.57431,0.75,0.64545,0.40416,1.60303,1.2232,1.59841,0.0004872,0.0004872,0.0004872
62,598.34,1.07591,0.97255,1.06455,0.57431,0.75,0.64545,0.40416,1.60303,1.2232,1.59841,0.000483242,0.000483242,0.000483242
